#ZVView-data-copy:   6-Oct-2017 16:33:38
#=======================================
#
#name:   ENDF/B-VIII.b4: XE-128(N,INL)XE-128
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  340
#data...
#            X            Y
#          MeV        barns
       9.88949        1.661
            10      1.65031
        10.333      1.48353
       10.4664      1.41676
       10.6203      1.34316
       10.9287      1.19569
       10.9701      1.17591
       11.1872       1.0761
       11.3273      1.01169
       11.3851      0.98594
        11.601     0.889675
       11.6588     0.863896
       11.7739     0.814043
       11.8864     0.765305
       11.9242     0.748955
        11.962     0.732554
            12     0.716101
        12.337     0.637883
       12.4715     0.606681
       12.6264     0.572112
       12.9566     0.498417
       12.9771     0.493843
       13.2099     0.443589
       13.3335     0.416907
       13.4764     0.386866
       13.4868      0.38466
       13.6611     0.348007
       13.6627     0.347665
        13.709     0.338164
       13.8295     0.313424
       13.8537      0.30845
       13.9511     0.288467
       13.9572     0.287214
            14     0.278423
        14.336     0.254172
       14.4914     0.242958
       14.5697     0.237496
       14.7833     0.222603
            15     0.207492
       15.3365     0.194236
       15.5702     0.185028
       15.7439     0.178187
       15.7837     0.176671
       15.8554     0.173932
            16     0.168418
       16.4781      0.15723
       16.8461     0.148619
       17.1274     0.142343
       17.2342     0.139963
       17.3415     0.137567
       17.5039     0.133946
       17.6068     0.131649
       17.7502     0.128555
       17.8747     0.125869
            18     0.123164
       18.9737     0.105785
       19.7383    0.0927516
            20     0.088407
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.b4: XE-129(N,INL)XE-129
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  387
#data...
#            X            Y
#          MeV        barns
     0.0399099            0
          0.05     0.257195
     0.0544061     0.284247
     0.0583909     0.306889
      0.063173     0.332104
     0.0670149     0.351015
     0.0732201     0.379381
          0.08     0.407748
     0.0894427     0.430193
           0.1     0.452637
      0.110668     0.466709
      0.128842     0.487817
          0.15     0.508925
      0.186121     0.528244
           0.2     0.534684
      0.237947     0.546204
          0.25     0.549864
      0.250713     0.550019
      0.252123     0.550325
      0.254835     0.550915
      0.257447     0.551483
      0.261125     0.552283
      0.265695     0.553277
      0.271676     0.554577
      0.278496      0.55606
      0.283723     0.557195
      0.291748     0.558939
           0.3     0.560731
      0.308882     0.562678
      0.316705     0.564392
       0.32069     0.565265
      0.324217     0.587436
      0.329244     0.598952
      0.331628     0.604412
      0.338576     0.620062
      0.338881     0.620738
      0.347271     0.639299
      0.347545     0.639892
      0.355307     0.656685
      0.358758     0.664148
      0.361088     0.669058
      0.369311     0.687105
      0.371997        0.693
      0.380174     0.710536
      0.382246      0.71498
      0.396011      0.74378
      0.397072     0.746057
      0.398152     0.748378
       0.41472     0.782966
      0.428892     0.807867
      0.441126     0.829356
      0.442255     0.831339
      0.450077     0.844781
       0.45516     0.853325
      0.455368     0.853674
      0.470693     0.880192
      0.474382     0.886573
      0.482772     0.900817
      0.490034     0.912968
           0.5     0.929641
      0.516974      0.94636
      0.522759     0.952056
      0.549296     0.981981
      0.563066     0.997499
      0.577181      1.01317
      0.593105      1.03819
      0.608714      1.06235
      0.620114       1.0798
      0.622419      1.08331
      0.629387      1.09385
       0.64967      1.12364
      0.660056      1.13888
      0.670607       1.1543
      0.692533      1.18331
           0.7       1.1931
      0.718534      1.21102
      0.737559      1.22906
      0.743607      1.23466
       0.74726      1.23802
      0.757088      1.24692
      0.765794      1.25478
      0.777134      1.26497
      0.788484      1.27393
           0.8       1.2831
      0.807064      1.28803
      0.814191        1.293
      0.817778      1.29563
      0.828634      1.30358
      0.829641      1.30445
      0.835155      1.30811
      0.844893      1.31457
        0.8491      1.31736
      0.857846      1.32316
      0.866143      1.32865
      0.874792      1.33438
      0.887307      1.34411
      0.893631        1.349
           0.9      1.35393
       0.90567      1.35736
      0.911376      1.36121
      0.932152      1.37804
      0.953402      1.39515
      0.963276      1.40331
      0.973251      1.41155
      0.978278      1.41567
       0.98333      1.41981
      0.993514      1.42812
      0.996752       1.4302
             1      1.43245
       1.00349      1.43501
         1.007      1.43758
        1.0104      1.44007
       1.01715      1.44497
        1.0207      1.44753
       1.02829      1.45301
       1.03034      1.45447
       1.03371      1.45683
       1.04605       1.4655
       1.04878      1.46741
       1.05369      1.47081
       1.05737      1.47334
         1.065      1.47853
       1.06599       1.4792
       1.06961      1.48161
       1.07972      1.48837
       1.08742      1.49346
       1.09065      1.49556
       1.09674      1.49951
       1.09967      1.50141
       1.10255      1.50326
        1.1094      1.50776
       1.11556       1.5118
       1.11803      1.51339
       1.11998      1.51467
        1.1332      1.52321
       1.13547      1.52467
        1.1377       1.5261
       1.14299      1.52949
       1.14775      1.53253
       1.14966      1.53372
       1.16885      1.54566
        1.1725      1.54793
        1.1736       1.5486
       1.17396      1.54882
       1.18218      1.55377
       1.18321      1.55439
       1.19136      1.55929
       1.19878      1.56371
       1.20875      1.56976
       1.21063       1.5709
       1.21138      1.57135
         1.224      1.57878
          1.25      1.59408
       1.27881      1.60962
       1.29163      1.61653
       1.30829      1.62503
