#ZVView-data-copy:   6-Oct-2017 16:32:26
#=======================================
#
#name:   ENDF/B-VIII.b4: XE-128(N,EL)XE-128-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  3348
#data...
#            X            Y
#          MeV        barns
   0.000229592    0.0518893
   0.000229652    0.0460425
   0.000229711     0.040538
   0.000229759     0.036392
     0.0002298    0.0329597
   0.000229836    0.0301679
   0.000229872    0.0275189
   0.000229907    0.0250168
   0.000229937    0.0230471
   0.000229973    0.0208253
   0.000230008    0.0187628
   0.000230041    0.0170159
   0.000230072    0.0154801
   0.000230093    0.0145293
   0.000230118    0.0134549
    0.00023014    0.0125813
   0.000230163    0.0117788
   0.000230185    0.0110485
   0.000230207    0.0103918
   0.000230222    0.0099955
   0.000230243   0.00949734
   0.000230263   0.00906629
   0.000230286   0.00868016
   0.000230305   0.00840994
   0.000230322    0.0082215
   0.000230338   0.00809154
   0.000230352   0.00800559
    0.00023037   0.00795292
   0.000230379   0.00794525
   0.000230399   0.00797836
   0.000230417   0.00807439
   0.000230436   0.00823431
   0.000230453   0.00843414
   0.000230468   0.00865137
   0.000230488     0.008995
   0.000230504   0.00934055
   0.000230519   0.00969887
   0.000230537    0.0101851
   0.000230551    0.0106378
   0.000230566    0.0111341
   0.000230584    0.0117881
   0.000230602    0.0125067
    0.00023062    0.0132908
   0.000230637    0.0141413
   0.000230657    0.0151388
   0.000230679    0.0163896
   0.000230701    0.0177491
   0.000230727    0.0194239
   0.000230753    0.0213554
    0.00023078     0.023453
   0.000230804    0.0254601
   0.000230827    0.0276038
   0.000230851    0.0298868
   0.000230882    0.0330991
   0.000230905    0.0355468
   0.000230934    0.0390132
   0.000230964    0.0427169
   0.000230994    0.0466632
   0.000231023    0.0508582
   0.000231053    0.0553077
   0.000231083    0.0600182
   0.000231112    0.0649956
   0.000231148    0.0713302
   0.000231184    0.0780702
   0.000231219    0.0852274
   0.000231255     0.092814
   0.000231291     0.100843
   0.000231338     0.112257
   0.000231386     0.124513
   0.000231433     0.137642
   0.000231475     0.149875
   0.000231519      0.16378
   0.000231564     0.178543
   0.000231608     0.194195
   0.000231653     0.210769
   0.000231712     0.234363
   0.000231772     0.259747
   0.000231831     0.287011
    0.00023189     0.316252
   0.000231956     0.350823
   0.000232009      0.38108
   0.000232063     0.413202
   0.000232116     0.447276
   0.000232187     0.495906
   0.000232247     0.539376
   0.000232309     0.588069
   0.000232371     0.640058
   0.000232434     0.695535
   0.000232496     0.754698
   0.000232558     0.817761
   0.000232621      0.88495
   0.000232683     0.956511
   0.000232745       1.0327
   0.000232808       1.1138
    0.00023287       1.2001
   0.000232941      1.30551
   0.000233012      1.41864
   0.000233084      1.54004
   0.000233155       1.6703
   0.000233226      1.81009
   0.000233297      1.96009
   0.000233369      2.12107
    0.00023344      2.29386
   0.000233511      2.47937
   0.000233582      2.67859
   0.000233657      2.90184
   0.000233737      3.16252
   0.000233817      3.44534
   0.000233897      3.75234
   0.000233977      4.08583
   0.000234058      4.44837
   0.000234138      4.84281
   0.000234218      5.27234
   0.000234298      5.74055
   0.000234378      6.25147
   0.000234458      6.80965
   0.000234533      7.37305
   0.000234604      7.96044
   0.000234675      8.59801
   0.000234746       9.2909
   0.000234818      10.0449
   0.000234889      10.8665
    0.00023496      11.7632
   0.000235031      12.7432
   0.000235102      13.8163
   0.000235174      14.9932
   0.000235245      16.2866
   0.000235295       17.269
   0.000235345       18.321
   0.000235395       19.449
   0.000235445      20.6598
   0.000235494      21.9612
   0.000235544      23.3617
   0.000235594       24.871
   0.000235644         26.5
   0.000235708      28.7901
   0.000235772      31.3283
   0.000235815      33.1754
   0.000235858      35.1603
   0.000235901      37.2964
   0.000235943      39.5988
   0.000235986      42.0847
   0.000236043      45.7182
   0.000236081       48.367
   0.000236119      51.2179
   0.000236157      54.2916
   0.000236195      57.6116
   0.000236233      61.2047
   0.000236271      65.1014
   0.000236307      69.0614
    0.00023634      73.0552
   0.000236373      77.3681
   0.000236406      82.0354
