#ZVView-data-copy:   6-Oct-2017 16:27:15
#=======================================
#
#name:   ENDF/B-VIII.b4: XE-128(N,G)XE-129
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  4900
#data...
#            X            Y
#          MeV        barns
     9.1165e-5    0.0432569
    9.14837e-5    0.0455899
    9.18047e-5    0.0482118
    9.21279e-5    0.0511787
    9.23704e-5    0.0536603
    9.26128e-5    0.0563865
    9.28552e-5    0.0593834
    9.30999e-5    0.0627265
    9.33457e-5    0.0664564
    9.35916e-5    0.0706031
    9.38374e-5    0.0752354
    9.40833e-5    0.0804541
    9.43273e-5    0.0863071
    9.44875e-5    0.0905692
    9.46477e-5    0.0952088
     9.4808e-5     0.100272
    9.49682e-5     0.105813
    9.51284e-5     0.111892
    9.52887e-5     0.118582
    9.54489e-5     0.125969
     9.5587e-5     0.132972
     9.5761e-5     0.142753
    9.58771e-5     0.149947
    9.59931e-5      0.15775
    9.61091e-5     0.166235
    9.62252e-5     0.175486
    9.63412e-5     0.185602
    9.64572e-5     0.196691
    9.65939e-5     0.211184
    9.67307e-5     0.227454
    9.68219e-5     0.239436
     9.6913e-5      0.25245
    9.70042e-5     0.266623
    9.70953e-5     0.282096
    9.71865e-5     0.299035
    9.72984e-5     0.322112
     9.7373e-5     0.339089
    9.74476e-5     0.357509
    9.75221e-5     0.377543
    9.75967e-5     0.399384
    9.76713e-5      0.42326
    9.77459e-5     0.449433
    9.78122e-5     0.474874
    9.78992e-5     0.511811
    9.79572e-5     0.538972
    9.80153e-5     0.568431
    9.80733e-5     0.600456
    9.81313e-5     0.635357
    9.81893e-5     0.673493
    9.82473e-5     0.715282
    9.83157e-5     0.769897
    9.83613e-5     0.809977
    9.84068e-5     0.853378
    9.84524e-5     0.900488
     9.8498e-5     0.951751
    9.85436e-5      1.00768
    9.85892e-5      1.06888
    9.86306e-5      1.12966
    9.86679e-5      1.18909
    9.87052e-5      1.25351
    9.87425e-5      1.32352
    9.87798e-5      1.39981
    9.88171e-5      1.48317
    9.88544e-5      1.57454
    9.88917e-5      1.67502
    9.89269e-5      1.77946
      9.896e-5      1.88742
    9.89932e-5      2.00608
    9.90263e-5        2.137
    9.90595e-5      2.28206
    9.90926e-5      2.44359
    9.91175e-5      2.57726
    9.91424e-5      2.72331
    9.91672e-5      2.88356
    9.91879e-5      3.02958
    9.92128e-5      3.22216
    9.92377e-5      3.43697
    9.92563e-5      3.61531
    9.92749e-5      3.81098
    9.92936e-5       4.0269
    9.93122e-5      4.26664
    9.93309e-5      4.53464
    9.93495e-5       4.8364
    9.93682e-5      5.17877
    9.93837e-5      5.50117
    9.93977e-5      5.82539
    9.94117e-5      6.18719
    9.94257e-5      6.59261
    9.94397e-5      7.04868
    9.94537e-5       7.5636
     9.9463e-5      7.94418
    9.94723e-5      8.35827
    9.94816e-5      8.80932
    9.94909e-5      9.30115
    9.95003e-5      9.83789
    9.95096e-5      10.4241
    9.95189e-5      11.0647
    9.95277e-5      11.7245
     9.9536e-5      12.3985
    9.95443e-5      13.1284
    9.95526e-5      13.9187
    9.95609e-5      14.7746
    9.95692e-5      15.7011
    9.95774e-5       16.704
    9.95857e-5       17.789
     9.9594e-5      18.9624
    9.96023e-5      20.2308
    9.96106e-5      21.6008
    9.96189e-5      23.0798
    9.96272e-5       24.675
    9.96355e-5      26.3943
    9.96437e-5      28.2455
     9.9652e-5      30.2369
    9.96626e-5      32.9924
    9.96722e-5      35.7303
    9.96819e-5      38.6973
    9.96915e-5      41.9074
    9.97011e-5      45.3744
    9.97108e-5      49.1119
    9.97204e-5      53.1335
      9.973e-5      57.4523
    9.97397e-5      62.0807
    9.97493e-5      67.0305
    9.97589e-5      72.3127
    9.97689e-5      78.1242
    9.97788e-5      84.3095
    9.97888e-5      90.8762
    9.97987e-5      97.8299
    9.98136e-5      108.993
    9.98286e-5      121.035
    9.98385e-5      129.545
    9.98526e-5      142.246
    9.98667e-5       155.67
    9.98878e-5      177.058
    9.99123e-5      203.401
    9.99421e-5      237.205
    9.99993e-5       302.97
   0.000100027      332.499
   0.000100051      356.105
   0.000100071       373.38
    0.00010009       388.15
    0.00010011      400.041
    0.00010013      408.743
   0.000100149      413.846
   0.000100168      415.739
    0.00010017      415.749
   0.000100186      414.578
   0.000100202      411.022
   0.000100218      405.288
   0.000100235      396.678
   0.000100255      383.866
   0.000100271      371.064
   0.000100289      355.341
   0.000100312      332.872
   0.000100338      305.446
   0.000100385      251.756
   0.000100417      214.747
   0.000100439      190.096
   0.000100462      166.714
   0.000100478      150.398
   0.000100495      135.043
   0.000100507      124.196
    0.00010052      113.945
   0.000100533        103.6
   0.000100543      96.2115
   0.000100553      89.2271
   0.000100564      82.6426
   0.000100574      76.4508
   0.000100584      70.6444
   0.000100594      65.2125
   0.000100604      60.1432
   0.000100616      54.6848
   0.000100626      50.3747
   0.000100636        46.38
   0.000100646      42.6845
   0.000100656      39.2734
   0.000100666      36.1304
   0.000100677      33.2399
   0.000100687      30.5858
   0.000100697      28.1534
   0.000100707      25.9272
   0.000100717      23.8927
   0.000100725      22.3565
   0.000100734      20.9325
   0.000100742      19.6132
    0.00010075       18.392
   0.000100758       17.262
   0.000100767      16.2171
   0.000100775       15.251
   0.000100783      14.3584
   0.000100792      13.5337
     0.0001008      12.7719
   0.000100808      12.0681
   0.000100816      11.4181
   0.000100825      10.8174
   0.000100833      10.2623
   0.000100841       9.7491
    0.00010085      9.27447
    0.00010086      8.73053
    0.00010087      8.23631
   0.000100881      7.78661
   0.000100891      7.37693
   0.000100901      7.00301
   0.000100912       6.6612
   0.000100922       6.3481
   0.000100938      5.92582
   0.000100953      5.55265
   0.000100969      5.22117
   0.000100984      4.92518
      0.000101      4.65944
   0.000101015       4.4196
   0.000101036      4.14057
   0.000101056       3.8927
   0.000101076      3.67078
   0.000101096      3.47073
   0.000101116      3.28926
   0.000101137      3.12374
   0.000101163      2.92421
    0.00010119      2.74527
   0.000101217      2.58377
   0.000101247      2.42121
   0.000101281       2.2602
   0.000101314      2.11566
   0.000101347      1.98526
    0.00010138       1.8671
   0.000101413      1.75963
   0.000101446      1.66153
   0.000101479      1.57171
   0.000101517      1.47939
   0.000101558      1.38634
     0.0001016      1.30206
   0.000101641      1.22545
   0.000101682       1.1556
   0.000101724      1.09171
   0.000101765      1.03311
   0.000101807     0.979226
   0.000101852     0.924804
   0.000101902     0.870576
   0.000101952     0.821092
   0.000102002     0.775807
   0.000102051     0.734249
   0.000102101     0.696015
   0.000102151     0.660752
   0.000102225     0.612777
   0.000102292     0.574473
   0.000102358     0.539724
   0.000102424     0.508101
    0.00010249     0.479239
   0.000102557     0.452824
   0.000102623     0.428587
   0.000102689     0.406294
   0.000102756      0.38574
   0.000102839     0.362227
   0.000102921     0.340858
   0.000103004      0.32138
   0.000103087     0.303575
    0.00010317     0.287257
   0.000103253     0.272266
   0.000103336     0.258461
   0.000103419      0.24572
   0.000103526     0.230572
   0.000103634     0.216837
   0.000103742     0.204342
    0.00010385     0.192942
   0.000103957     0.182513
   0.000104065     0.172951
   0.000104173     0.164162
   0.000104281     0.156066
   0.000104413     0.146945
   0.000104546     0.138648
   0.000104678     0.131077
   0.000104811     0.124152
   0.000104944     0.117801
   0.000105076     0.111964
   0.000105275     0.104055
   0.000105424    0.0987085
    0.00010559    0.0932832
   0.000105756    0.0883381
   0.000105922    0.0838181
   0.000106087     0.079676
   0.000106253    0.0758708
   0.000106502    0.0707185
   0.000106761    0.0659547
    0.00010695    0.0628503
   0.000107232    0.0586514
   0.000107514    0.0549228
   0.000107796    0.0516013
   0.000108078    0.0486305
   0.000108362     0.045944
   0.000108648    0.0435151
   0.000108933    0.0413239
   0.000109218    0.0393435
   0.000109504    0.0375477
   0.000109887    0.0353718
   0.000110274    0.0334234
   0.000110661    0.0316882
   0.000111048     0.030136
   0.000111432    0.0287533
   0.000111814    0.0275154
   0.000112386    0.0258741
   0.000112966    0.0244321
   0.000113562    0.0231513
   0.000114159    0.0220273
   0.000114761    0.0210273
   0.000115366    0.0201448
   0.000115971    0.0193658
   0.000116789    0.0184494
   0.000117607     0.017668
   0.000118437    0.0169806
   0.000119267    0.0163853
   0.000120108    0.0158608
   0.000120949     0.015408
   0.000121803    0.0150002
   0.000123088    0.0144835
   0.000124386    0.0140561
   0.000125702    0.0137007
   0.000127031    0.0134068
   0.000128823    0.0130935
    0.00013064    0.0128604
   0.000132484    0.0126927
   0.000134353    0.0125792
   0.000137621    0.0124955
    0.00013804    0.0124938
   0.000140962    0.0125453
   0.000142937    0.0126222
   0.000144954    0.0127333
   0.000148029    0.0129807
   0.000150987    0.0132931
      0.000154    0.0136872
   0.000156173     0.014019
    0.00015929    0.0145805
      0.000162    0.0151476
    0.00016485    0.0158415
     0.0001677    0.0166346
     0.0001696    0.0172317
     0.0001715    0.0178879
     0.0001734    0.0186094
     0.0001753    0.0194037
     0.0001772    0.0202794
   0.000179271    0.0213381
   0.000181342    0.0225203
   0.000183413    0.0238444
   0.000185484    0.0253299
   0.000187222    0.0267245
   0.000188961    0.0282693
    0.00019012    0.0293979
   0.000191461    0.0308121
   0.000192802    0.0323554
   0.000194162    0.0340693
   0.000195522    0.0359483
    0.00019664    0.0376227
   0.000197758    0.0394389
   0.000199439    0.0424749
    0.00020057    0.0447528
    0.00020171    0.0472697
    0.00020285    0.0500338
    0.00020399    0.0530787
    0.00020513    0.0564433
    0.00020627    0.0601747
    0.00020741    0.0643274
    0.00020855    0.0689683
   0.000209405    0.0728169
    0.00021026    0.0770238
   0.000211115    0.0816349
    0.00021197    0.0867039
   0.000212825    0.0922944
    0.00021368    0.0984812
   0.000214606     0.105942
   0.000215224     0.111432
   0.000215841     0.117389
   0.000216435     0.123603
   0.000217005     0.130068
   0.000217575     0.137079
   0.000218145     0.144699
   0.000218739     0.153356
   0.000219356     0.163223
   0.000219974     0.174141
   0.000220591     0.186239
   0.000221185     0.199146
   0.000221755     0.212885
   0.000222325     0.228143
   0.000222895     0.245154
   0.000223322      0.25923
    0.00022375     0.274587
   0.000224178     0.291387
   0.000224605     0.309816
   0.000225033     0.330094
    0.00022546     0.352476
   0.000225888     0.377266
   0.000226315     0.404823
   0.000226742     0.435574
    0.00022717      0.47003
   0.000227455     0.495331
    0.00022774     0.522712
   0.000228096     0.560323
   0.000228452     0.602283
    0.00022872     0.636975
   0.000228987     0.674802
   0.000229307     0.724896
   0.000229592     0.774334
   0.000229866     0.826685
   0.000230151     0.887261
    0.00023043     0.953535
   0.000230664      1.01485
   0.000230851       1.0683
   0.000231089      1.14257
   0.000231326      1.22495
   0.000231528      1.30226
